Tab.1.4.1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Wissenschaftsausgaben der Bundesrepublik Deutschland 1);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Finanzierungsquelle;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro
1. Öffentliche Haushalte 2);28222;29908;31349;32083;32131;31509;31995;33218;33988;36150;38391;40102;41854;43453;46330;49151;50108;51428;53363;54680;57931;61612;64271;68462
1.1 Gebietskörperschaften;27215;28500;29749;30411;30518;29723;30245;31472;32064;33984;36204;37865;39422;40922;43639;46029;46855;48470;50205;51487;54598;58438;60524;64397
   a) Bund 3);10383;10617;11222;11218;11218;10884;11148;11451;12255;13191;14462;15395;16390;17327;18939;18879;19610;20864;22484;22672;24240;25561;26719;28512
   b) Länder 4);16673;17695;18360;19000;19098;18637;18879;19820;19575;20487;21445;22155;22723;23304;24403;26839;26931;27274;27386;28438;29962;32424;33308;35426
   c) Gemeinden (Gv.);159;188;167;193;202;202;218;201;234;306;298;315;309;291;297;312;314;332;336;377;396;453;497;459
1.2 Wissenschaftliche Organisationen ohne Erwerbszweck 5);1007;1408;1600;1672;1613;1786;1750;1746;1924;2166;2187;2237;2432;2531;2691;3122;3253;2958;3158;3194;3333;3174;3747;4065
Kennzahl;Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%)
   Desgleichen in Prozent des öffentlichen Gesamthaushalts 6);4,6;5;5,2;5,2;5,2;5,1;5,1;5,2;5,2;5,3;5,4;5,6;5,4;5,6;5,9;6,2;6,2;6,1;6,2;6,1;6,1;5,7;5,5;5,4
Finanzierungsquelle;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro;Mio. Euro
